ecole	sexe	age	adresse	fam_taille	parents	Mscol	Pscol	Mtravail	Ptravail	raisonChoix	adulReferent	tempsTrajet	tempsEtude	redoublement	soutienPedagoSup	soutienPedagoFamille	coursSup	activPara	creche	souhaitUniv	internet	relAmour	relationFamille	tempsLibre	sortiesAmis	alcoolSem	alcoolWeek	etatSante	absences	noteTrim1	noteTrim2	noteTrim3
GP	M	15	U	>3	ensembles	4	3	teacher	other	reput_ecole	mere	1	2	0	non	non	non	non	oui	oui	oui	non	4	4	1	1	1	1	0	13	14	15
GP	M	15	U	>3	ensembles	4	4	health	health	autre	pere	1	1	0	non	oui	oui	non	oui	oui	oui	non	5	4	2	1	1	5	0	12	15	15
GP	M	16	U	<=3	ensembles	4	2	teacher	other	pref_cours	mere	1	2	0	non	non	non	oui	oui	oui	oui	non	4	5	1	1	3	5	2	15	15	16
GP	M	16	U	<=3	ensembles	2	2	other	other	reput_ecole	mere	2	2	0	non	oui	non	oui	oui	oui	oui	non	5	4	4	2	4	5	0	13	13	12
GP	F	15	R	>3	ensembles	2	4	services	health	pref_cours	mere	1	3	0	oui	oui	oui	oui	oui	oui	oui	non	4	3	2	1	1	5	2	10	9	8
GP	F	16	U	>3	ensembles	2	2	services	services	proche_maison	mere	1	1	2	non	oui	oui	non	non	oui	oui	non	1	2	2	1	3	5	14	6	9	8
GP	M	15	U	>3	ensembles	2	2	other	other	proche_maison	mere	1	1	0	non	oui	oui	non	oui	oui	oui	non	4	2	2	1	2	5	2	12	12	11
GP	M	15	U	>3	ensembles	4	2	health	services	autre	mere	1	1	0	non	non	oui	non	oui	oui	oui	non	2	2	4	2	4	1	4	15	16	15
GP	M	16	U	<=3	separes	3	4	services	other	proche_maison	mere	1	2	0	oui	oui	non	oui	oui	oui	oui	non	5	3	3	1	1	5	4	11	11	11
GP	M	16	U	>3	ensembles	4	4	teacher	teacher	proche_maison	mere	1	2	0	non	oui	oui	oui	oui	oui	oui	oui	4	4	5	5	5	5	16	10	12	11
GP	M	15	U	>3	ensembles	4	4	health	services	proche_maison	mere	1	2	0	non	oui	oui	non	non	oui	oui	non	5	4	2	3	4	5	0	9	11	12
GP	M	15	U	>3	ensembles	4	4	services	services	reput_ecole	mere	2	2	0	non	oui	non	oui	oui	oui	oui	non	4	3	1	1	1	5	0	17	16	17
GP	M	15	R	>3	ensembles	4	3	teacher	at_home	pref_cours	mere	1	2	0	non	oui	non	oui	oui	oui	oui	oui	4	5	2	1	1	5	0	17	16	16
GP	M	15	U	<=3	ensembles	3	3	other	other	pref_cours	mere	1	2	0	non	non	non	oui	non	oui	oui	non	5	3	2	1	1	2	0	8	10	12
GP	M	16	U	>3	ensembles	3	2	other	other	proche_maison	mere	1	1	0	non	oui	oui	non	non	oui	oui	non	5	4	3	1	1	5	0	12	14	15
GP	F	15	U	>3	ensembles	2	3	other	other	autre	pere	2	1	0	non	oui	non	oui	oui	oui	non	non	3	5	1	1	1	5	0	8	7	6
GP	M	15	U	<=3	ensembles	4	3	teacher	services	proche_maison	mere	1	3	0	non	oui	non	oui	oui	oui	oui	non	5	4	3	1	1	4	2	15	16	18
GP	M	16	R	>3	separes	4	4	other	teacher	reput_ecole	mere	2	3	0	non	oui	non	oui	oui	oui	oui	oui	2	4	3	1	1	5	7	15	16	15
GP	F	15	R	>3	ensembles	3	4	services	health	pref_cours	mere	1	3	0	oui	oui	oui	oui	oui	oui	oui	non	4	3	2	1	1	5	2	12	12	11
GP	F	15	R	>3	ensembles	2	2	at_home	other	reput_ecole	mere	1	1	0	oui	oui	oui	oui	oui	oui	non	non	4	3	1	1	1	2	8	14	13	13
GP	F	16	U	<=3	ensembles	2	2	other	other	proche_maison	mere	2	2	1	non	oui	non	oui	non	oui	oui	oui	3	3	3	1	2	3	25	7	10	11
GP	M	15	U	<=3	ensembles	4	4	teacher	other	proche_maison	autre	1	1	0	non	oui	non	non	non	oui	oui	oui	5	4	3	2	4	5	8	12	12	12
GP	M	15	U	>3	ensembles	4	4	services	teacher	pref_cours	pere	1	2	0	non	oui	non	oui	oui	oui	oui	non	4	3	3	1	1	5	2	19	18	18
GP	M	15	U	>3	ensembles	2	2	services	services	pref_cours	pere	1	1	0	oui	oui	non	non	oui	oui	oui	non	5	4	1	1	1	1	0	8	8	11
GP	F	16	U	<=3	ensembles	2	2	other	at_home	pref_cours	pere	2	2	1	oui	non	non	oui	oui	oui	oui	non	4	3	3	2	2	5	14	10	10	9
GP	F	15	U	<=3	separes	4	3	other	other	pref_cours	mere	1	2	0	oui	oui	oui	oui	oui	oui	oui	oui	5	2	2	1	1	5	8	8	8	6
GP	F	16	U	<=3	separes	3	3	other	services	proche_maison	mere	1	2	0	non	oui	non	non	oui	oui	oui	non	2	3	5	1	4	3	12	11	12	11
GP	M	16	U	>3	ensembles	4	3	health	services	reput_ecole	mere	1	4	0	non	non	non	oui	oui	oui	oui	non	4	2	2	1	1	2	4	19	19	20
GP	M	15	U	>3	ensembles	4	2	teacher	other	proche_maison	mere	1	2	0	non	oui	oui	non	oui	oui	non	non	4	3	3	2	2	5	2	15	15	14
GP	F	15	U	>3	ensembles	4	4	services	teacher	autre	pere	1	2	1	oui	oui	non	oui	non	oui	oui	non	4	4	4	1	1	3	2	7	7	7
GP	F	16	U	<=3	ensembles	2	2	services	services	pref_cours	mere	3	2	0	non	oui	oui	non	oui	oui	oui	non	4	3	3	2	3	4	2	12	13	13
GP	F	15	U	<=3	ensembles	4	2	health	other	autre	mere	1	2	0	non	oui	oui	non	oui	oui	oui	non	4	3	3	1	1	5	2	11	13	13
GP	M	15	U	<=3	separes	4	2	health	health	autre	pere	2	1	1	non	non	non	non	oui	oui	non	non	5	5	5	3	4	5	6	11	11	10
GP	F	15	U	>3	ensembles	4	4	services	services	pref_cours	mere	1	1	0	oui	oui	oui	non	oui	oui	oui	non	3	3	4	2	3	5	0	8	10	11
GP	F	15	U	<=3	separes	3	3	other	other	autre	mere	1	1	0	non	non	oui	non	oui	oui	oui	non	5	3	4	4	4	1	6	10	13	13
GP	F	16	U	>3	separes	2	1	other	other	autre	mere	1	2	0	non	non	oui	oui	oui	oui	oui	oui	5	3	4	1	1	2	8	8	9	10
GP	F	15	U	>3	separes	4	3	services	services	reput_ecole	mere	1	2	0	non	oui	oui	oui	oui	oui	oui	non	4	3	2	1	1	1	0	14	15	15
GP	M	15	U	>3	ensembles	4	4	teacher	health	reput_ecole	mere	1	2	0	non	oui	non	oui	oui	oui	non	non	3	2	2	1	1	5	4	14	15	15
GP	M	15	U	<=3	ensembles	1	2	other	at_home	proche_maison	pere	1	2	0	oui	oui	non	oui	oui	oui	oui	non	4	3	2	1	1	5	2	9	10	9
GP	F	16	U	>3	ensembles	4	2	services	other	pref_cours	mere	1	2	0	non	oui	non	non	oui	oui	oui	non	4	2	3	1	1	5	2	15	16	16
GP	F	16	R	>3	ensembles	4	4	health	teacher	autre	mere	1	2	0	non	oui	non	oui	oui	oui	non	non	2	4	4	2	3	4	6	10	11	11
GP	F	16	U	>3	ensembles	1	1	services	services	pref_cours	pere	4	1	0	oui	oui	non	oui	non	oui	oui	oui	5	5	5	5	5	5	6	10	8	11
GP	F	16	U	<=3	ensembles	1	2	other	services	reput_ecole	pere	1	2	0	oui	non	non	oui	oui	oui	oui	non	4	4	3	1	1	1	4	8	10	9
GP	F	16	U	>3	ensembles	4	3	teacher	health	proche_maison	mere	1	3	0	oui	oui	oui	oui	oui	oui	oui	non	3	4	4	2	4	4	2	10	9	9
GP	F	15	U	<=3	ensembles	4	3	services	services	reput_ecole	pere	1	2	0	oui	non	non	oui	oui	oui	oui	oui	4	4	4	2	4	2	0	10	10	10
GP	F	16	U	<=3	ensembles	4	3	teacher	services	pref_cours	mere	3	2	0	non	oui	non	oui	oui	oui	oui	non	5	4	3	1	2	1	2	16	15	15
GP	M	15	U	>3	separes	4	4	other	services	reput_ecole	mere	1	4	0	non	oui	non	oui	non	oui	oui	oui	1	3	3	5	5	3	4	13	13	12
GP	F	16	U	>3	ensembles	3	1	services	other	pref_cours	mere	1	4	0	oui	oui	oui	non	oui	oui	oui	non	4	3	3	1	2	5	4	7	7	6
GP	F	15	R	<=3	ensembles	2	2	health	services	reput_ecole	mere	2	2	0	oui	oui	oui	non	oui	oui	oui	non	4	1	3	1	3	4	2	8	9	8
GP	F	15	R	<=3	ensembles	3	1	other	other	reput_ecole	pere	2	4	0	non	oui	non	non	non	oui	oui	non	4	4	2	2	3	3	12	16	16	16
GP	M	16	U	>3	ensembles	3	1	other	other	reput_ecole	pere	2	4	0	non	oui	oui	non	oui	oui	oui	non	4	3	2	1	1	5	0	13	15	15
GP	M	15	U	>3	ensembles	4	2	other	other	pref_cours	mere	1	4	0	non	non	non	non	oui	oui	oui	non	3	3	3	1	1	3	0	10	10	10
GP	F	15	R	>3	ensembles	1	1	other	other	reput_ecole	mere	1	2	2	oui	oui	non	non	non	oui	oui	oui	3	3	4	2	4	5	2	8	6	5
GP	M	16	U	>3	ensembles	3	1	other	other	reput_ecole	mere	1	1	0	non	non	non	oui	oui	oui	non	non	5	3	2	2	2	5	2	12	12	14
GP	F	16	U	>3	ensembles	3	3	other	services	proche_maison	mere	1	2	0	oui	oui	oui	oui	oui	oui	oui	non	4	3	3	2	4	5	54	11	12	11
GP	M	15	U	>3	ensembles	4	3	teacher	other	proche_maison	mere	1	2	0	non	oui	oui	oui	oui	oui	oui	non	4	3	3	2	3	5	6	9	9	10
GP	M	15	U	>3	ensembles	4	0	teacher	other	pref_cours	mere	2	4	0	non	non	non	oui	oui	oui	oui	non	3	4	3	1	1	1	8	11	11	10
GP	F	16	U	>3	ensembles	2	2	other	other	reput_ecole	mere	1	4	0	non	non	oui	non	oui	oui	oui	oui	5	2	3	1	3	3	0	11	11	11
GP	M	17	U	>3	ensembles	2	1	other	other	proche_maison	mere	2	1	3	oui	oui	non	oui	oui	non	oui	non	4	5	1	1	1	3	2	8	8	10
GP	F	16	U	>3	ensembles	3	4	at_home	other	pref_cours	mere	1	2	0	non	oui	non	non	oui	oui	oui	non	2	4	3	1	2	3	12	5	5	5
GP	M	15	U	>3	ensembles	2	3	other	services	pref_cours	pere	1	1	0	oui	oui	oui	oui	non	oui	oui	oui	3	2	2	1	3	3	2	10	12	12
GP	M	15	U	>3	ensembles	2	3	other	other	proche_maison	mere	1	3	0	oui	non	oui	non	non	oui	oui	non	5	3	2	1	2	5	4	11	10	11
GP	F	15	U	<=3	ensembles	3	2	services	other	reput_ecole	mere	1	2	0	non	oui	oui	non	oui	oui	oui	non	4	4	4	1	1	5	10	7	6	6
GP	M	15	U	<=3	ensembles	2	2	services	services	proche_maison	mere	2	2	0	non	non	oui	oui	oui	oui	oui	non	5	3	3	1	3	4	4	15	15	15
GP	F	15	U	>3	ensembles	1	1	other	other	proche_maison	pere	1	2	0	non	oui	non	oui	non	oui	oui	non	4	3	2	2	3	4	2	9	10	10
GP	F	15	U	>3	ensembles	4	4	services	services	reput_ecole	pere	2	2	2	non	non	oui	non	oui	oui	oui	oui	4	4	4	2	3	5	6	7	9	8
GP	F	16	U	<=3	ensembles	2	2	at_home	other	pref_cours	mere	1	2	0	non	oui	non	non	oui	oui	non	non	4	3	4	1	2	2	4	8	7	6
GP	F	15	U	>3	ensembles	4	2	other	other	reput_ecole	mere	1	3	0	non	oui	non	oui	oui	oui	oui	non	5	3	3	1	3	1	4	13	14	14
GP	M	16	U	>3	ensembles	2	2	services	other	reput_ecole	pere	2	2	1	non	non	oui	oui	non	oui	oui	non	4	4	2	1	1	3	12	11	10	10
GP	M	16	U	<=3	separes	4	4	teacher	health	reput_ecole	mere	1	2	0	non	oui	non	non	oui	oui	non	non	4	1	3	3	5	5	18	8	6	7
GP	F	16	U	>3	ensembles	3	3	other	other	proche_maison	mere	1	3	0	non	oui	oui	non	oui	oui	oui	oui	4	3	3	1	3	4	0	7	7	8
GP	F	15	U	>3	ensembles	4	3	services	other	reput_ecole	mere	1	1	0	non	non	oui	oui	oui	oui	oui	non	4	5	5	1	3	1	4	16	17	18
GP	F	16	U	<=3	ensembles	3	1	other	other	proche_maison	pere	1	2	0	oui	oui	non	non	oui	oui	non	non	3	3	3	2	3	2	4	7	6	6
GP	F	16	U	>3	ensembles	4	2	teacher	services	proche_maison	mere	2	2	0	non	oui	oui	oui	oui	oui	oui	non	5	3	3	1	1	1	0	11	10	10
GP	M	15	U	<=3	ensembles	2	2	services	health	reput_ecole	mere	1	4	0	non	oui	non	oui	oui	oui	oui	non	4	3	4	1	1	4	6	11	13	14
GP	F	15	R	>3	ensembles	1	1	at_home	other	proche_maison	mere	2	4	1	oui	oui	oui	oui	oui	oui	oui	non	3	1	2	1	1	1	2	7	10	10
GP	M	16	R	>3	ensembles	4	3	services	other	reput_ecole	mere	2	1	0	oui	oui	non	oui	non	oui	oui	non	3	3	3	1	1	4	2	11	15	15
GP	F	16	U	>3	ensembles	2	1	other	other	pref_cours	mere	1	2	0	non	oui	oui	non	oui	oui	non	oui	4	3	5	1	1	5	2	8	9	10
GP	F	16	U	>3	ensembles	4	4	other	other	reput_ecole	mere	1	1	0	non	non	non	oui	non	oui	oui	non	5	3	4	1	2	1	6	11	14	14
GP	F	16	U	>3	ensembles	4	3	other	at_home	pref_cours	mere	1	3	0	oui	oui	oui	non	oui	oui	oui	non	5	3	5	1	1	3	0	7	9	8
GP	M	16	U	>3	ensembles	4	4	services	services	autre	mere	1	1	0	oui	oui	oui	oui	oui	oui	oui	non	4	5	5	5	5	4	14	7	7	5
GP	M	16	U	>3	ensembles	4	4	services	teacher	autre	pere	1	3	0	non	oui	non	oui	oui	oui	oui	oui	4	4	3	1	1	4	0	16	17	17
GP	M	15	U	>3	ensembles	4	4	services	other	pref_cours	mere	1	1	0	non	oui	non	oui	non	oui	oui	non	5	3	3	1	1	5	4	10	13	14
GP	F	15	U	>3	ensembles	3	2	services	other	proche_maison	mere	2	2	0	oui	oui	oui	non	oui	oui	oui	non	4	3	5	1	1	2	26	7	6	6
GP	M	15	U	>3	separes	3	4	services	other	pref_cours	mere	1	2	0	non	oui	oui	oui	oui	oui	oui	non	5	4	4	1	1	1	0	16	18	18
GP	F	15	U	>3	separes	3	3	other	health	reput_ecole	pere	1	4	0	oui	non	non	non	oui	oui	non	non	4	3	3	1	1	4	10	10	11	11
GP	F	15	U	>3	ensembles	2	2	other	other	pref_cours	mere	1	4	0	oui	oui	oui	non	oui	oui	oui	non	5	1	2	1	1	3	8	7	8	8
GP	M	16	U	>3	ensembles	3	3	services	other	proche_maison	pere	1	3	0	non	oui	non	oui	oui	oui	oui	non	5	3	3	1	1	5	2	16	18	18
GP	M	15	R	>3	ensembles	4	4	other	other	proche_maison	pere	4	4	0	non	oui	oui	oui	oui	oui	oui	oui	1	3	5	3	5	1	6	10	13	13
GP	F	16	U	<=3	ensembles	4	4	health	health	autre	mere	1	3	0	non	oui	oui	oui	oui	oui	oui	oui	5	4	5	1	1	4	4	14	15	16
GP	M	15	U	<=3	separes	4	4	teacher	teacher	pref_cours	mere	1	1	0	non	non	non	oui	oui	oui	oui	non	5	5	3	1	1	4	6	18	19	19
GP	F	16	R	>3	ensembles	3	3	services	other	reput_ecole	pere	1	3	1	oui	oui	non	oui	oui	oui	oui	non	4	1	2	1	1	2	0	7	10	10
GP	F	16	U	>3	ensembles	2	2	at_home	other	proche_maison	mere	1	2	1	oui	non	non	oui	oui	oui	oui	non	3	1	2	1	1	5	6	10	13	13
GP	M	15	U	<=3	ensembles	4	2	teacher	other	pref_cours	mere	1	1	0	non	non	non	non	oui	oui	oui	non	3	5	2	1	1	3	10	18	19	19
GP	M	15	R	>3	ensembles	2	1	health	services	reput_ecole	mere	1	2	0	non	non	non	oui	oui	oui	oui	oui	5	4	2	1	1	5	8	9	9	9
GP	M	16	U	>3	ensembles	4	4	teacher	teacher	pref_cours	pere	1	2	0	non	oui	non	oui	oui	oui	oui	non	5	4	4	1	2	5	2	15	15	16
GP	M	15	U	>3	ensembles	4	4	other	teacher	reput_ecole	pere	2	2	0	non	oui	non	oui	oui	oui	non	non	4	4	3	1	1	2	2	11	13	14
GP	M	16	U	>3	ensembles	3	3	other	services	proche_maison	pere	2	1	0	non	non	non	oui	oui	oui	oui	non	5	4	2	1	1	5	0	13	14	13
GP	M	17	R	>3	ensembles	1	3	other	other	pref_cours	pere	3	2	1	non	oui	non	oui	oui	oui	oui	non	5	2	4	1	4	5	20	9	7	8
GP	M	15	U	>3	ensembles	3	4	other	other	reput_ecole	pere	1	1	0	non	non	non	non	oui	oui	oui	non	3	4	3	1	2	4	6	14	13	13
GP	F	15	U	>3	ensembles	1	2	at_home	services	pref_cours	mere	1	2	0	non	non	non	non	non	oui	oui	non	3	2	3	1	2	1	2	16	15	15
GP	M	15	U	>3	ensembles	2	2	services	services	proche_maison	pere	1	4	0	non	oui	oui	oui	oui	oui	oui	non	5	5	4	1	2	5	6	16	14	15
GP	F	16	U	<=3	ensembles	2	4	other	health	pref_cours	pere	2	2	0	non	oui	oui	oui	oui	oui	oui	oui	4	2	2	1	2	5	2	13	13	13
GP	M	16	U	>3	ensembles	4	4	health	other	pref_cours	mere	1	1	0	non	oui	non	oui	oui	oui	oui	non	3	4	4	1	4	5	18	14	11	13
GP	F	16	U	>3	ensembles	2	2	other	other	proche_maison	mere	1	2	0	non	non	oui	non	oui	oui	oui	oui	5	4	4	1	1	5	0	8	7	8
GP	M	15	U	>3	ensembles	3	4	services	services	proche_maison	pere	1	1	0	oui	non	non	non	oui	oui	oui	non	5	5	5	3	2	5	0	13	13	12
GP	F	15	U	<=3	separes	3	4	other	other	proche_maison	mere	1	2	0	oui	non	non	oui	oui	oui	oui	oui	5	3	2	1	1	1	0	7	10	11
GP	F	19	U	>3	ensembles	0	1	at_home	other	pref_cours	autre	1	2	3	non	oui	non	non	non	non	non	non	3	4	2	1	1	5	2	7	8	9
GP	M	18	R	>3	ensembles	2	2	services	other	reput_ecole	mere	1	1	2	non	oui	non	oui	oui	oui	oui	non	3	3	3	1	2	4	0	7	4	0
GP	M	16	R	>3	ensembles	4	4	teacher	teacher	pref_cours	mere	1	1	0	non	non	oui	oui	oui	oui	oui	non	3	5	5	2	5	4	8	18	18	18
GP	F	15	R	>3	ensembles	3	4	services	teacher	pref_cours	pere	2	3	2	non	oui	non	non	oui	oui	oui	oui	4	2	2	2	2	5	0	12	0	0
GP	F	15	U	>3	ensembles	1	1	at_home	other	pref_cours	mere	3	1	0	non	oui	non	oui	non	oui	oui	oui	4	3	3	1	2	4	0	8	0	0
GP	F	17	U	<=3	ensembles	2	2	other	other	pref_cours	pere	1	1	0	non	oui	non	non	oui	oui	oui	oui	3	4	4	1	3	5	12	10	13	12
GP	F	16	U	>3	separes	3	4	services	other	pref_cours	pere	1	1	0	non	non	non	non	oui	oui	oui	non	3	2	1	1	4	5	16	12	11	11
GP	M	15	R	>3	ensembles	3	4	at_home	teacher	pref_cours	mere	4	2	0	non	oui	non	non	oui	oui	non	oui	5	3	3	1	1	5	0	9	0	0
GP	F	15	U	>3	ensembles	4	4	services	at_home	pref_cours	mere	1	3	0	non	oui	non	oui	oui	oui	oui	oui	4	3	3	1	1	5	0	11	0	0
GP	M	17	R	>3	ensembles	3	4	at_home	other	pref_cours	mere	3	2	0	non	non	non	non	oui	oui	non	non	5	4	5	2	4	5	0	10	0	0
GP	F	16	U	>3	separes	3	3	other	other	pref_cours	autre	2	1	2	non	oui	non	oui	non	oui	oui	oui	4	3	2	1	1	5	0	4	0	0
GP	M	16	U	<=3	ensembles	1	1	services	other	pref_cours	mere	1	2	1	non	non	non	non	oui	oui	non	oui	4	4	4	1	3	5	0	14	12	12
GP	F	15	U	>3	ensembles	4	4	teacher	teacher	pref_cours	mere	2	1	0	non	non	non	oui	oui	oui	oui	non	4	3	2	1	1	5	0	16	16	15
GP	M	15	U	>3	ensembles	4	3	teacher	services	pref_cours	pere	2	4	0	oui	oui	non	non	oui	oui	oui	non	2	2	2	1	1	3	0	7	9	0
GP	M	16	U	<=3	ensembles	2	2	services	services	reput_ecole	pere	2	1	2	non	oui	non	oui	oui	oui	oui	non	2	3	3	2	2	2	8	9	9	9
GP	F	15	U	>3	ensembles	4	4	teacher	services	pref_cours	mere	1	3	0	non	oui	oui	oui	oui	oui	oui	non	4	2	2	1	1	5	2	9	11	11
GP	F	16	U	<=3	ensembles	1	1	at_home	at_home	pref_cours	mere	1	1	0	non	non	non	non	oui	oui	oui	non	3	4	4	3	3	1	2	14	14	13
GP	M	17	U	>3	ensembles	2	1	other	other	proche_maison	mere	1	1	3	non	oui	non	non	oui	oui	oui	non	5	4	5	1	2	5	0	5	0	0
GP	F	15	U	>3	ensembles	1	1	other	services	pref_cours	pere	1	2	0	non	oui	oui	non	oui	oui	oui	non	4	4	2	1	2	5	0	8	11	11
GP	F	15	U	>3	ensembles	3	2	health	services	proche_maison	pere	1	2	3	non	oui	non	non	oui	oui	oui	non	3	3	2	1	1	3	0	6	7	0
GP	F	15	U	>3	ensembles	1	2	at_home	other	pref_cours	mere	1	2	0	non	oui	oui	non	non	oui	oui	non	4	3	2	1	1	5	2	10	11	11
GP	M	16	U	>3	ensembles	4	4	teacher	teacher	pref_cours	mere	1	1	0	non	oui	non	non	oui	non	oui	oui	3	3	2	2	1	5	0	7	6	0
GP	M	15	U	<=3	separes	2	1	services	other	pref_cours	mere	4	1	3	non	non	non	non	oui	oui	oui	non	4	5	5	2	5	5	0	8	9	10
GP	M	18	U	<=3	ensembles	1	1	other	other	pref_cours	mere	1	1	3	non	non	non	non	oui	non	oui	oui	2	3	5	2	5	4	0	6	5	0
GP	M	16	U	<=3	ensembles	2	1	at_home	other	pref_cours	mere	1	1	1	non	non	non	oui	oui	oui	non	oui	4	4	4	3	5	5	6	12	13	14
GP	F	15	R	>3	ensembles	3	3	services	services	reput_ecole	autre	2	3	2	non	oui	oui	oui	oui	oui	oui	oui	4	2	1	2	3	3	8	10	10	10
GP	M	19	U	>3	ensembles	3	2	services	at_home	proche_maison	mere	1	1	3	non	oui	non	non	oui	non	oui	oui	4	5	4	1	1	4	0	5	0	0
GP	F	17	U	>3	ensembles	4	4	other	teacher	pref_cours	mere	1	1	0	oui	oui	non	non	oui	oui	non	oui	4	2	1	1	1	4	0	11	11	12
GP	M	15	R	>3	ensembles	2	3	at_home	services	pref_cours	mere	1	2	0	oui	non	oui	oui	oui	oui	non	non	4	4	4	1	1	1	2	11	8	8
GP	M	17	R	<=3	ensembles	1	2	other	other	reput_ecole	mere	1	1	0	non	non	non	non	oui	oui	non	non	2	2	2	3	3	5	8	16	12	13
GP	F	18	R	>3	ensembles	1	1	at_home	other	pref_cours	mere	3	1	3	non	oui	non	oui	non	oui	non	non	5	2	5	1	5	4	6	9	8	10
GP	M	16	R	>3	ensembles	2	2	at_home	other	pref_cours	mere	3	1	0	non	non	non	non	non	oui	non	non	4	2	2	1	2	3	2	17	15	15
GP	M	16	U	>3	ensembles	3	3	other	services	pref_cours	pere	1	2	1	non	oui	oui	non	oui	oui	oui	oui	4	5	5	4	4	5	4	10	12	12
GP	M	17	R	<=3	ensembles	2	1	at_home	other	pref_cours	mere	2	1	2	non	non	non	oui	oui	non	oui	oui	3	3	2	2	2	5	0	7	6	0
GP	M	15	R	>3	ensembles	3	2	other	other	pref_cours	mere	2	2	2	oui	oui	non	non	oui	oui	oui	oui	4	4	4	1	4	3	6	5	9	7
GP	M	16	U	<=3	ensembles	1	2	other	other	pref_cours	mere	2	1	1	non	non	non	oui	oui	oui	non	non	4	4	4	2	4	5	0	7	0	0
GP	M	17	U	>3	ensembles	1	3	at_home	services	pref_cours	pere	1	1	0	non	non	non	non	oui	non	oui	non	5	3	3	1	4	2	2	10	10	10
GP	M	17	R	<=3	ensembles	1	1	other	services	pref_cours	mere	4	2	3	non	non	non	oui	oui	non	non	oui	5	3	5	1	5	5	0	5	8	7
GP	M	16	U	>3	ensembles	3	2	services	services	pref_cours	mere	2	1	1	non	oui	non	oui	non	non	non	non	4	5	2	1	1	2	16	12	11	12
